school_name_std,address,city,zip,county,FedCong,included_in_program,registered,n_incidents,had_incident,n_disp_return,perc_disp_return
lowell elem school,312 S President St,Wheaton,60187 5738,Dupage,06,1,1,0,0,NA,NA
lowpoint washburn elem school,508 E Walnut St,Washburn,61570 0580,Woodford,16,1,1,0,0,NA,NA
lowpoint washburn jr sr high sch,508 E Walnut St,Washburn,61570 0580,Woodford,16,1,1,0,0,NA,NA
lowrie elem school,264 Oak St,Elgin,60123 7628,Kane,08,1,NA,0,0,NA,NA
lozano elem bilingual and intl ctr,1501 N Greenview Ave,Chicago,60642 2355,Cook,05,1,1,0,0,NA,NA
ludlow elementary school,245 S Orange St,Ludlow,60949 0130,Champaign,02,1,NA,0,0,NA,NA
ludwig elem school,710 N State St,Lockport,60441 2227,Will,01,1,1,0,0,NA,NA
luka grade school,405 S Main St,Iuka,62849 1011,Marion,NA,1,1,1,1,1,1
lundahl middle school,560 Nash Rd,Crystal Lake,60014 7138,McHenry,09,1,1,4,1,4,1
luther burbank elem school,8235 Linder Ave,Burbank,60459 2066,Cook,04,1,1,0,0,NA,NA
luther j schilling school,16025 S Cedar Rd,Homer Glen,60491 8287,Will,01,1,1,0,0,NA,NA
lwase self k 8,601 Willow St,Frankfort,60423 1140,Will,01,0,NA,0,0,NA,NA
lyle school,920 N Burr St,Kewanee,61443 1340,Henry,17,1,1,0,0,NA,NA
lynn g haskin elementary school,720 S Wells St,Sandwich,60548 2449,Dekalb,14,1,NA,2,1,2,1
lynne thigpen elem school,207 S Midland Ave,Joliet,60436 1305,Will,14,1,NA,0,0,NA,NA
lyon elem school,2941 N McVicker Ave,Chicago,60634 5146,Cook,03,1,1,3,1,3,1
lyon elem school,1335 Waukegan Rd,Glenview,60025 3064,Cook,09,1,1,0,0,NA,NA
lyon magnet elementary school,800 S Elmwood Ave,Waukegan,60085 7242,Lake,10,1,1,0,0,NA,NA
lyons twp high sch,100 S Brainard Ave,La Grange,60525 2101,Cook,04,1,1,0,0,NA,NA
m j cunningham elem sch,500 Moran St,Joliet,60435 4532,Will,14,1,NA,0,0,NA,NA
m l king jr elem school,1108 Fairview Ave,Urbana,61801 1508,Champaign,13,1,NA,0,0,NA,NA
mabel o donnell elem school,1640 Reckinger Rd,Aurora,60505 1628,Kane,11,1,NA,0,0,NA,NA
mable woolsey elem school,106 Pleasant Ave,Knoxville,61448 1440,Knox,17,1,1,0,0,NA,NA
macarthur early childhood center,235 W Grant St,Macomb,61455 2862,McDonough,15,1,1,0,0,NA,NA
macarthur high school,1499 W Grand Ave,Decatur,62522 1410,Macon,13,1,1,21,1,20,0.952380952380952
macarthur international spanish academy,1800 Chippendale Rd,Hoffman Estates,60169 6947,Cook,08,1,1,0,0,NA,NA
macarthur middle school,700 N Schoenbeck Rd,Prospect Heights,60070 1231,Cook,09,1,1,2,1,1,0.5
macarthur middle school,1310 N Wolf Rd,Berkeley,60163 1220,Cook,04,1,1,0,0,NA,NA
macarthur ms d hh ms program,700 N Schoenbeck Rd,Prospect Heights,60070 1231,Cook,09,0,NA,0,0,NA,NA
macarthur school,640 E 168th Pl,South Holland,60473,NA,NA,1,NA,0,0,NA,NA
macarthur echo elem,640 E 168Th Pl,South Holland,60473 3018,Cook,02,1,NA,0,0,NA,NA
machesney elem school,8615 N 2nd St,Machesney Park,61115 2003,Winnebago,16,1,NA,0,0,NA,NA
mackeben elementary school,800 Dr John Burkey Dr,Algonquin,60102 4421,McHenry,11,1,NA,0,0,NA,NA
macomb junior high school,1525 S Johnson St,Macomb,61455 3261,McDonough,NA,1,1,0,0,NA,NA
macomb middle school,1531 S Johnson St,Macomb,61455,McDonough,15,1,NA,0,0,NA,NA
macomb senior high school,1525 S Johnson St,Macomb,61455 3261,McDonough,15,1,1,0,0,NA,NA
macon piatt roe,3433 Rupp Pkwy,Decatur,62526 2124,N/A,NA,0,NA,0,0,NA,NA
maddock elementary school,8258 Sayre Ave,Burbank,60459 1631,Cook,04,1,1,0,0,NA,NA
madero middle school,3202 W 28th St,Chicago,60623 4708,Cook,04,1,1,0,0,NA,NA
mades johnstone school,1304 Ronzheimer Ave,St. Charles,60174,NA,NA,NA,1,0,0,NA,NA
mades johnstone center,1304 Ronzheimer Ave,St Charles,60174 4450,Kane,11,1,NA,0,0,NA,NA
mades johnstone rssp,1304 Ronzheimer Ave,St Charles,60174 4450,N/A,NA,0,NA,0,0,NA,NA
madison co career and tech ed sys,6161 Center Grove Rd,Edwardsville,62025 3307,Madison,NA,0,NA,0,0,NA,NA
madison co detention center,100 5th Ave,Edwardsville,62025 2575,Madison,13,0,NA,0,0,NA,NA
madison elem school,7433 S Dorchester Ave,Chicago,60619 2194,Cook,01,1,1,4,1,2,0.5
madison elem school,1620 Mayo Ave,Wheaton,60189 6134,Dupage,03,1,1,0,0,NA,NA
madison elem school,5100 Madison St,Skokie,60077 2554,Cook,09,1,1,0,0,NA,NA
madison elem school,611 S Madison St,Hinsdale,60521 3982,Dupage,04,1,NA,0,0,NA,NA
madison elementary school,150 W Madison St,Lombard,60148 3317,Dupage,06,1,1,1,1,1,1
madison jr high school,1000 River Oak Dr,Naperville,60565 2717,Dupage,11,1,1,0,0,NA,NA
madison jr high school,600 Farrish St,Madison,62060 1567,Madison,13,1,NA,0,0,NA,NA
madison park elem school,800 N Chestnut St,Litchfield,62056 1648,Montgomery,NA,1,1,0,0,NA,NA
madison roe,157 N Main St Ste 438,Edwardsville,62025 1960,N/A,NA,0,NA,0,0,NA,NA
madison school,15700 Orchid Dr,South Holland,60473 1300,Cook,02,1,NA,0,0,NA,NA
madison school,618 Division St,Dixon,61021,Lee,16,1,1,0,0,NA,NA
madison senior high school,600 Farrish St,Madison,62060 1567,Madison,13,1,NA,0,0,NA,NA
madison student support center,1634 7th St,Madison,62060 1426,Madison,13,0,NA,0,0,NA,NA
mae jemison school,3450 W 177th St,Hazel Crest,60429 2002,Cook,02,1,1,1,1,0,0
maercker elem school,5827 S Cass Ave,Westmont,60559 2368,Dupage,06,1,1,0,0,NA,NA
magee middle school,500 N Cedar Lake Rd,Round Lake,60073 2804,Lake,10,1,1,0,0,NA,NA
mahomet seymour high school,302 W State St,Mahomet,61853,Champaign,15,1,1,0,0,NA,NA
mahomet seymour jr high school,201 W State St,Mahomet,61853,Champaign,15,1,1,2,1,2,1
main street elementary school,225 W Main St,Shelbyville,62565 1525,Shelby,15,1,NA,0,0,NA,NA
maine east high school,2601 Dempster St,Park Ridge,60068 1155,Cook,09,1,1,2,1,2,1
maine south high school,1111 S Dee Rd,Park Ridge,60068 4379,Cook,05,1,1,0,0,NA,NA
maine west high school,1755 S Wolf Rd,Des Plaines,60018 1923,Cook,03,1,NA,0,0,NA,NA
malden grade school,350 East St,Malden,61337 0216,Bureau,14,1,NA,0,0,NA,NA
